chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000128_y000256_x000768,6.5203964749816805,85,109,-24,0.7174867392283542,0.5594380667819888,62,23,47,0.7294117647058823,0.5688073394495413,0.6391752577319587,0.4908538718833354,0.3137416500697608,36,49,73,0.4235294117647059,0.3302752293577982,0.3711340206185567,0.6092630079691682,0.22611822976175314
chunk_z5_y55_x5000_z000128_y000256_x000896,6.39133780496195,91,115,-24,0.6966671604206784,0.5345274355593944,62,29,53,0.6813186813186813,0.5391304347826087,0.6019417475728156,0.4607419166564901,0.2773397944922562,24,67,91,0.26373626373626374,0.20869565217391303,0.23300970873786409,0.627394098361077,0.1461889161229694
chunk_z5_y55_x5000_z000128_y000256_x001024,6.392463937052526,75,113,-38,0.6676373473365954,0.5010928113317966,53,22,60,0.7066666666666667,0.4690265486725664,0.5638297872340425,0.4223480965161732,0.23813243739741682,19,56,94,0.25333333333333335,0.168141592920354,0.2021276595744681,0.6240620253955548,0.12614019662250575
chunk_z5_y55_x5000_z000128_y000256_x001152,6.519412858993746,92,97,-5,0.7646628638291648,0.6189912384560738,58,34,39,0.6304347826086957,0.5979381443298969,0.6137566137566138,0.5123296700822085,0.3144457234366994,37,55,60,0.40217391304347827,0.38144329896907214,0.39153439153439157,0.6358527163858004,0.24895820641560443
chunk_z5_y55_x5000_z000128_y000384_x000000,6.439641201985069,68,126,-58,0.44742386515993104,0.2881815938810757,32,36,94,0.47058823529411764,0.25396825396825395,0.32989690721649484,0.2892638939973241,0.09542726399911723,5,63,121,0.07352941176470588,0.03968253968253968,0.05154639175257732,0.6183904975138172,0.031875798840918415
chunk_z5_y55_x5000_z000128_y000384_x000128,6.381039552041329,86,110,-24,0.38385112758240025,0.23750975800156127,16,70,94,0.18604651162790697,0.14545454545454545,0.16326530612244897,0.20153276942017534,0.03290330929308985,1,85,109,0.011627906976744186,0.00909090909090909,0.01020408163265306,0.5556499575191164,0.005669897525705269
chunk_z5_y55_x5000_z000128_y000384_x000256,6.37012386508286,66,143,-77,0.3440967856140051,0.207800058979652,43,23,100,0.6515151515151515,0.3006993006993007,0.4114832535885167,0.23402226321107658,0.09629624227824204,4,62,139,0.06060606060606061,0.027972027972027972,0.038277511961722493,0.5701023944163272,0.021822101221677593
chunk_z5_y55_x5000_z000128_y000384_x000384,6.283104990958236,91,132,-41,0.5624204979102307,0.39122740487928204,50,41,82,0.5494505494505495,0.3787878787878788,0.44843049327354256,0.306413813790906,0.1374052976640834,10,81,122,0.10989010989010989,0.07575757575757576,0.08968609865470853,0.6025296830809144,0.054038536599185144
chunk_z5_y55_x5000_z000128_y000384_x000512,6.3976841940311715,59,149,-90,0.30377725662392097,0.17909042772253927,39,20,110,0.6610169491525424,0.26174496644295303,0.37500000000000006,0.17100472841763906,0.06412677315661465,2,57,147,0.03389830508474576,0.013422818791946308,0.019230769230769232,0.5544874746730521,0.010663220666789465
chunk_z5_y55_x5000_z000128_y000384_x000640,6.357948558987118,75,113,-38,0.6325682031984948,0.46259579796089656,53,22,60,0.7066666666666667,0.4690265486725664,0.5638297872340425,0.40110067224236284,0.22615250668984288,14,61,99,0.18666666666666668,0.12389380530973451,0.14893617021276598,0.5886419833182536,0.08767008262186755
